Edward Abbey		29-Jan	Indiana, PA	14-Mar	Oracle, AZ	 Complications of Surgery 	 Buried, Cabeza Prieta Desert, Pima County, AZ	 Male			 Straight	 Author		 United States	Desert Solitaire	Jonathan Troy|The Brave Cowboy|Fire on the Mountain|Desert Solitaire|Black Sun|The Monkey Wrench Gang|The Journey Home|Abbey's Road|Good News|Down the River|The Fool's Progress|One Life at a Time|Hayduke Lives!
Stanislaw Lem		12-Sep	Lvov, Poland	27-Mar	Krakow, Poland	 Heart Failure	 Buried, Salwator Cemetery, Krakow, Poland	 Male	Atheist		 Straight	 Author	http://www.lem.pl/	 Poland	Solaris	Czlowiek z Marsa|The Man from Mars|Szpital przemienienia|Hospital of the Transfiguration)Astronauci (1951, novel, Astronauts. Released as a film in 1960.)Oblok Magellana (1955, novel, The Magellanic Cloud)Sezam (1955, stories)Dzienniki gwiazdowe (1957, stories, Star Diaries)Dialogi (1957, philosophy, Dialogs)Inwazja z Aldebarana (1959, stories, The Invasion from Aldebaran)Œledztwo (1959, novel, The Investigation)Eden (1959, novel)Ksiega robotów (1961, anthology, Mortal Engines)Powrót z gwiazd (1961, novel, Return from the Stars)Solaris (1961, novel)Pamiêtnik znaleziony w wannie (1961, novel, Memoirs Found in a Bathtub)Wejœcie na orbitê (1962, philosophy)Niezwyciê¿ony (1964, novel, The Invincible)Cyberiada (1967, stories, The Cyberiad)Glos pana (1968, novel, His Master's Voice)Filozofia Przypadku (1968, philosophy)Fantastyka i futurologia (1970, criticism, Fantasy and Futurology (2 vols.)Doskonala pró¿nia (1971, reviews, A Perfect Vacuum)Opowieœci o pilocie Pirxie (1973, stories, Tales of Pirx the Pilot (2 vols.)Wielkoœæ urojona (1973, prefaces, Imaginary Magnitude)Rozprawy i szkice (1974, essays)Katar (1975, novel, The Chain of Chance)Wysoki zamek (1975, autobiography, HighcastlePQXLM A Remembrance)Golem XIV (1981, novel)Wizja lokalna (1982, novel)Microworlds (1986, essays)Fiasko (1986, novel, Fiasco)Biblioteka XXI wieku (1986, anthology, Library of 21st Century)Pokój na Ziemi (1987, novel, Peace on Earth)Zagadka (1996, novel)Bomba megabitowa (1999, essays)Œwiat na krawêdzi (2000, novel, The World at the Edge)Okamgnienie (2000, essays)Mój pogl¹d na literaturê (2003, literary memoirs)Moloch (2003, novel)Krótkie zwarcia (2004, novel)Lata czterdzieste (2005, literary memoirs)Do you know something we don't?Submit a correction or make a comment about this profileCopyright ©2014 Soylent Communications|Astronauci|Astronauts. Released as a film in 1960.)Oblok Magellana (1955, novel, The Magellanic Cloud)Sezam (1955, stories)Dzienniki gwiazdowe (1957, stories, Star Diaries)Dialogi (1957, philosophy, Dialogs)Inwazja z Aldebarana (1959, stories, The Invasion from Aldebaran)Œledztwo (1959, novel, The Investigation)Eden (1959, novel)Ksiega robotów (1961, anthology, Mortal Engines)Powrót z gwiazd (1961, novel, Return from the Stars)Solaris (1961, novel)Pamiêtnik znaleziony w wannie (1961, novel, Memoirs Found in a Bathtub)Wejœcie na orbitê (1962, philosophy)Niezwyciê¿ony (1964, novel, The Invincible)Cyberiada (1967, stories, The Cyberiad)Glos pana (1968, novel, His Master's Voice)Filozofia Przypadku (1968, philosophy)Fantastyka i futurologia (1970, criticism, Fantasy and Futurology (2 vols.)Doskonala pró¿nia (1971, reviews, A Perfect Vacuum)Opowieœci o pilocie Pirxie (1973, stories, Tales of Pirx the Pilot (2 vols.)Wielkoœæ urojona (1973, prefaces, Imaginary Magnitude)Rozprawy i szkice (1974, essays)Katar (1975, novel, The Chain of Chance)Wysoki zamek (1975, autobiography, HighcastlePQXLM A Remembrance)Golem XIV (1981, novel)Wizja lokalna (1982, novel)Microworlds (1986, essays)Fiasko (1986, novel, Fiasco)Biblioteka XXI wieku (1986, anthology, Library of 21st Century)Pokój na Ziemi (1987, novel, Peace on Earth)Zagadka (1996, novel)Bomba megabitowa (1999, essays)Œwiat na krawêdzi (2000, novel, The World at the Edge)Okamgnienie (2000, essays)Mój pogl¹d na literaturê (2003, literary memoirs)Moloch (2003, novel)Krótkie zwarcia (2004, novel)Lata czterdzieste (2005, literary memoirs)Do you know something we don't?Submit a correction or make a comment about this profileCopyright ©2014 Soylent Communications|Oblok Magellana|The Magellanic Cloud|Sezam|Dzienniki gwiazdowe|Star Diaries|Dialogi|Dialogs|Inwazja z Aldebarana|The Invasion from Aldebaran|Œledztwo|The Investigation|Eden|Ksiega robotów|Mortal Engines|Powrót z gwiazd|Return from the Stars|Solaris|Pamiêtnik znaleziony w wannie|Memoirs Found in a Bathtub|Wejœcie na orbitê|Niezwyciê¿ony|The Invincible|Cyberiada|The Cyberiad|Glos pana|His Master's Voice|Filozofia Przypadku|Fantastyka i futurologia|Fantasy and Futurology|Doskonala pró¿nia|A Perfect Vacuum|Opowieœci o pilocie Pirxie|Tales of Pirx the Pilot|Wielkoœæ urojona|Imaginary Magnitude|Rozprawy i szkice|Katar|The Chain of Chance|Wysoki zamek|HighcastlePQXLM A Remembrance|Golem XIV|Wizja lokalna|Microworlds|Fiasko|Fiasco|Biblioteka XXI wieku|Library of 21st Century|Pokój na Ziemi|Peace on Earth|Zagadka|Bomba megabitowa|Œwiat na krawêdzi|The World at the Edge|Okamgnienie|Mój pogl¹d na literaturê|Moloch|Krótkie zwarcia|Lata czterdzieste
Siegfried Lenz		17-Mar	 Lyck, East Prussia	7-Oct	Hamburg, Germany	 unspecified		 Male			 Straight	 Novelist		 Germany	Deutschstunde	Es Waren Habichte in der Luft (Hawks Were in the Air)|So Zärtlich War Suleyken (So Tender Was Suleyken)|Das Feuerschiff (The Lightship)|Deutschstunde (The German Lesson)|Das Vorbild (An Exemplary Life)|Heimatmuseum (The Heritage)|Exerzierplatz (Training Ground)|Die Klangprobe (The Odd Sound)|Die Auflehnung (The Rebellion)|Selected Stories of Siegfried Lenz
Andrew Leonard		 ?						 Male			 Straight	 Author		 United States	Wired	Bots: The Origin of New Species
Mark Leonard		27-Aug						 Male			 Straight	 Author		 England	What Does China Think?	Politics Without Frontiers: The Role of Political Parties in Europe's Future|Britain: Renewing Our Identity|Rediscovering Europe|Why Europe Will Run the Twenty-First Century|What Does China Think?
Jonathan Lethem	 Jonathan Allen Lethem	19-Feb	Brooklyn, NY					 Male			 Straight	 Author		 United States	Gun with Occasional Music	Gun, With Occasional Music|Amnesia Moon|The Wall of the Sky, the Wall of the Eye: Stories|As She Climbed Across the Table|Kafka Americana|Girl in Landscape|Motherless Brooklyn|The Fortress of Solitude|Men and Cartoons: Stories|The Disappointment Artist: Essays
Primo Levi	 Primo Michele Levi	31-Jul	Turin, Italy	11-Apr	Turin, Italy	Suicide	 Buried, Cimitero Monumentale di Torino, Turin, Italy	 Male	Jewish		 Straight	 Author		 Italy	Survival in Auschwitz	Se questo è un uomo|Survival in Auschwitz|La tregua|The Truce|Lilìt e altri racconti|Moments of Reprieve|Il sistema periodico|The Periodic Table|The Monkey's Wrench|Se non ora, quando?|If Not Now, When?|I sommersi e i salvati|The Drowned and the Saved
Bernard-Henri Lévy		5-Nov	 Beni-Saf, Algeria					 Male	Jewish		 Straight	 Author, 		 France	Who Killed Daniel Pearl?	Who Killed Daniel Pearl?
Shawn Levy	 Shawn Anthony Levy	 c. 						 Male	Jewish			 Author		 United States	Rat Pack Confidential	King of Comedy: The Life and Art of Jerry Lewis|Rat Pack Confidential|Ready, Steady, Go! -- The Smashing Rise and Giddy Fall of Swinging London
Steven Levy		26-Jan	Philadelphia, PA					 Male	Jewish		 Straight	 Author, 	http://www.stevenlevy.com/	 United States	Hackers	Hackers: Heroes of the Computer Revolution|The Unicorn's Secret: Murder in the Age of Aquarius|Artificial Life: The Quest for a New Creation|Insanely Great: The Life and Times of Macintosh, the Computer That Changed Everything|Crypto: How the Code Rebels Beat the Government Saving Privacy in the Digital Age|In the Plex: How Google Thinks, Works, and Shapes Our Lives
Michael Lewis	 Michael M. Lewis	15-Oct	New Orleans, LA					 Male	Atheist		 Straight	 Author, 		 United States	Liar's Poker	Liar's Poker: Rising through the Wreckage on Wall Street|Pacific Rift|The Money Culture|Trail Fever|The New New Thing: A Silicon Valley Story|Next: The Future Just Happened|Moneyball: The Art of Winning an Unfair Game|Coach: Lessons on the Game of Life|The Blind Side: Evolution of a Game|The Real Price of Everything: Rediscovering the Six Classics of Economics
Willy Ley		2-Oct	Berlin, Germany	24-May	Queens, NY	 unspecified		 Male			 Straight	 Author		 United States	The Conquest of Space	Die Fahrt in den Weltraum|The Conquest of Space|The Conquest of the Moon|The Exploration of Mars|Beyond the Solar System
Mark Leyner		1956						 Male	Jewish		 Straight	 Author		 United States	The Tetherballs of Bougainville	
Hilary Liftin		12-Aug	New York City					 Female			 Straight	 Author	http://www.hilaryliftin.com/	 United States	Candy and Me: A Love Story	Candy and Me, A Love Story
Astrid Lindgren	 Astrid Anna Emilia Ericsson Lindgren	14-Nov	 Vimmerby, Sweden	28-Jan	Stockholm, Sweden	 Illness	 Buried, Vimmerby Kyrkogård, Vimmerby, Sweden	 Female	 Christian		 Straight	 Author		 Sweden	Pippi Longstocking	Britt-Mari Lättar Sitt Hjärta (Britt-Mari Opens Her Hearti)|Pippi Långstrump (Pippi Longstocking)|Mästardetektiven Kalle Blomqvist (Bill Bergson, Master Detective)|Alla Vi Barn i Bullerby (The Six Bullerby Children)|Pippi Långstrump Går Ombord (Pippi Longstocking Goes Abroad)|Pippi Långstrump i Söderhavet (Pippi in the South Seas)|Mera om oss Barn i Bullerbyn (Happy Times in Noisy Village)|Kati i Amerika (Kati in America)|Kajsa Kavat Hjälpr Mormor (Brenda Brave Helps Grandmother)|Jag Vill Också Gå i Skolan (I Want to Go to School Too)|Mästerdetektiven Blomqvist Lever Farligt (Bill Bergson Lives Dangerously)|Kati På Kaptensgatan (Kati in Italy)|Kalle Blomqvist Och Rasmus (Bill Bergson and the White Rose Rescue)|Kati i Paris (Kati in Paris)|Jag Vill Också Ha Ett Syskon (That's My Baby / I Want a Brother or Sister)|Eric and Karlsson-on-the-Roof (Lillebror Och Karlsson På Taket)|Mio, Min Mio (Mio, My Son)|Rasmus På Luffen (Rasmus and the Vagabond)|Nils Karlsson-Pyssling Flyttar In (Simon Small Moves In)|Barnen På Bråkmakargatan (The Children on Troublemaker Street)|Rasmus, Pontus Och Toker (Rasmus, Pontus ja Höpö)|Noriko-San, Girl of Japan|Sia Bor På Kilimanjaro (Sia Lives on Kilimanjaro)|Mina Svenska Kusiner (My Swedish Cousins)|Lilibet, Cirkusbarn (Lilibet, Circus Child)|Madicken (Mischievous Meg)|Bullerby Boken (The Children of Noisy Village)|Lotta På Bråkmakargatan (Lotta on Troublemaker Street)|Karlsson På Taket Flyger Igen (Karlsson Flies Again)|Christmas in The Stable|Marko Bor i Jugoslavien (Marko Lives in Yugoslavia)|Emil Iin Lönneberga (Emil in the Soup Tureen)|Jul i Bullerbyn (Christmas in Noisy Village)|Jackie Bor in Holland (Dirk Lives in Holland)|Vi På Saltkråkan (Seacrow Island)|Vår i Bullerbyn (Springtime in Noisy Village)|Randi Bor i Lofoten (Randi Lives in Norway)|Barnens Dag i Bullerby (A Day at Bullerby)|Nya Nyss av Emil I Lönneberga (Emil's Pranks)|Skrållan och Sjörövarna (Skrållan and the Pirates)|Karlsson På Taket Smyger Igen (The World's Best Karlsson)|Matti Bor i Finland (Matti Lives in Finland)|Än Lever Emil i Lönneberga (Emil and Piggy Beast)|All About the Bullerby Children|Visst Kan Lotta Cykla (Of Course Polly Can Ride a Bike)|Bröderna Lejonhjärta (The Brothers Lionheart)|När Emil Skalla Dra Ut Linas Tand (Emil and the Bad Tooth)|Visst Kan Lotta Nästan Allting (Of Course Polly Can Do Almost Anything)|Madicken och Junibackens Pims (Margie to the Rescue)|Ronja Rövardotter (Ronia, the Robber's Daughter)|Spelar Min Lind, Sjunger Min Näktergal (My Nightingale is Singing)|När lilla Ida Skulle Göra Hyss (When Little Ida Wants to Do Mischief)|Emils Hyss Nr 325 (Emil's Sticky Problem)|Skinn Skerping: Hemskast av Alla Spöken i Småland (The Ghost of Skinny Jack)|Min Ko Vill Ha Roligt (My Cow Wants To Have Fun)
Brink Lindsey		 c. 						 Male				 Author, 	http://www.brinklindsey.com/	 United States	The Age of Abundance	Against the Dead Hand: The Uncertain Struggle for Global Capitalism|Antidumping Exposed: The Devilish Details of Unfair Trade Law|The Age of Abundance: How Prosperity Transformed America's Politics and Culture
Richard Lingeman	 Richard Roberts Lingeman	2-Jan	Crawfordsville, IN					 Male				 Author		 United States	 Biographer of Theodore Dreiser	Don't You Know There's a War On? The American Home Front, 1941-1945|Small Town America: A Narrative Hisory, 1620-Present|Theodore Dreiser: An American Journey|Sinclair Lewis: Rebel From Main Street|Double Lives: American Writers’ Friendships
Charles de Lint		22-Dec	 Bussum, Netherlands					 Male	 Pagan		 Straight	 Author	http://www.charlesdelint.com/	 Canada	The Onion Girl	
Alain Locke	 Alain LeRoy Locke	13-Sep	Philadelphia, PA	9-Jun	New York City	 unspecified		 Male			Gay	 Author, 		 United States	 Leader in the Harlem Renaissance	Four Negro Poets|The Negro in America|Frederick Douglass|Negro Art: Past and Present|The Negro and His Music|The Negro in Art
Augustus Baldwin Longstreet		9-Jul	Augusta, GA	9-Jul	Oxford, MS	 unspecified	 Buried, St. Peter's Cemetery, Oxford, MS	 Male	Methodist		 Straight	 Author		 United States	Georgia Scenes	Georgia Scenes, Characters, Incidents, etc., in the First Half Century of the Republic|Master William Mitten, or, A Youth of Brilliant Talents, Who Was Ruined by Bad Luck
Barry Lopez	 Barry Holstun Lopez	6-Jan	Port Chester, NY					 Male				 Author	http://www.barrylopez.com/	 United States	Of Wolves and Men	Desert Notes: Reflections in the Eye of a Raven|Giving Birth to Thunder, Sleeping with His Daughter: Coyote Builds North America|Of Wolves and Men|River Notes: The Dance of Herons|Winter Count|Arctic Dreams: Imagination and Desire in a Northern Landscape|Crossing Open Ground|Crow and Weasel|The Rediscovery of North America|Field Notes: The Grace Note of the Canyon Wren|About This Life: Journeys on the Threshold of Memory|Light Action in the Caribbean|Vintage Lopez|Resistance
James Lord		27-Nov	Englewood, NJ	23-Aug	Paris, France	 Heart Failure		 Male			Gay	 Author		 United States	Giacometti: A Biography	No Traveler Returns|The Joys of Success|A Giacometti Portrait|Giacometti: A Biography|Picasso and Dora: A Personal Memoir|Six Exceptional Women|Some Remarkable Men|A Gift for Admiration
Audre Lorde	 Audre Geraldine Lorde	18-Feb	New York City	17-Nov	 St. Croix, Virgin Islands	Cancer - Breast	 Cremated (ashes scattered at sea)	 Female			Lesbian	 Author		 United States	A Burst of Light	The First Cities|Cables to Rage|From a Land Where Other People Live|The New York Head Shop and Museum|Coal|Between Our Selves|The Black Unicorn|The Uses of the Erotic, The Erotic as Power|The Cancer Journals|Zami, A New Spelling of My Name|Sister Outsider|Our Dead Behind Us|A Burst of Light|Undersong, Chosen Poems Old and New
Jean-Baptiste Louvet	 Jean-Baptiste Louvet de Couvrai	12-Jun	Paris, France	25-Aug	Paris, France	 unspecified		 Male				 Author, Politician		 France	Mémoires de Louvet de Couvrai	
H. P. Lovecraft	 Howard Phillips Lovecraft	20-Aug	Providence, RI	15-Mar	Providence, RI	Cancer - Lymphoma	 Buried, 	 Male	Atheist		 Straight	 Author		 United States	The Call of Cthulhu	The Case of Charles Dexter Ward|At the Mountains of Madness|The Shadow over Innsmouth
James Russell Lowell		22-Feb	Cambridge, MA	12-Aug	Cambridge, MA	 unspecified	 Buried, 	 Male	Unitarian		 Straight	 Author, 		 United States	The Biglow Papers	
Lois Lowry	 Lois A. Hammersberg	19-Feb	 Oahu, HI					 Female			 Straight	 Author	http://www.loislowry.com/	 United States	The Giver	A Summer to Die|Find a Stranger, Say Goodbye|Anastasia Krupnik|Autumn Street|Anastasia Again|Anastasia at Your Service|Taking Care of Terrific|Anastasia Ask Your Analyst|Us and Uncle Fraud|One Hundredth Thing About Caroline|Anastasia on Her Own|Switcharound|Anastasia Has the Answers|Rabble Starkey|Anastasia's Chosen Career|All About Sam|Number the Stars|Your Move J.P.|Anastasia at This Address|Attaboy, Sam|The Giver|Anastasia, Absolutely|See You Around Sam!|Gathering Blue|Messenger
Lucian		 120 AD	 Samsat, Turkey	 c. 180 AD	Athens, Greece	 unspecified		 Male				 Author		 Ancient Greece	Dialogues of the Dead	Dialogues of the Gods
|Dialogues of the Dead
|The Passing of Peregrinus
|Philopseudes
|The Auction of Lives
Gaius Lucilius		 c. 180 BC	 Suessa Aurunc, Campania	 c. 103 BC		 unspecified		 Male				 Author		 Ancient Rome	 Earliest Roman satirist	
Emil Ludwig		25-Jan	Breslau, Germany	17-Sep	 Ascona, Switzerland	 unspecified		 Male				 Author		 Germany	 German biographer	Wilhelm Hohenzollern, the Last of the Kaisers
Mabel Dodge Luhan	 Mabel Ganson Dodge Luhan	26-Feb	Buffalo, NY	13-Aug	Taos, NM	 unspecified	 Buried, Kit Carson Cemetery, Taos, NM	 Female			 Straight	 Author		 United States	Movers and Shakers	Lorenzo in Taos|Background|European Experiences|Movers and Shakers|Edge of Taos Desert|Taos and Its Artists
Eugene Lyons		1-Jul	 Uzlian, Russia	10-Jan	New York City	 unspecified		 Male	Jewish		 Straight	 Author		 United States	 Anti-Communist Editor of 	Life and Death of Sacco and Vanzetti|Moscow Carousel|Assignment in Utopia|Terror in Russia? Two Views|Stalin: Czar of All the Russias|The Red Decade: The Stalinist Perpetration of America|Our Unknown Ex-President: A Portrait of Herbert Hoover|Our Secret Allies, the Peoples of Russia|Herbert Hoover, A Biography|David Sarnof: A Biography|Worker's Paradise Lost, Fifty Years of Soviet Communism: A Balance Sheet
Peter Maas		27-Jun	New York City	23-Aug	Manhattan, NY	 unspecified		 Male			 Straight	 Author		 United States	Serpico	The Rescuer|The Valachi Papers|Serpico: The Cop Who Defied the System|King of the Gypsies|Made in America|Marie: A True Story|Manhunt: The Incredible Pursuit Of A CIA Agent Turned Terrorist|Father and Son: A Novel|In a Child's Name: The Legacy of a Mother's Murder|China White|Killer Spy|Underboss: Sammy the Bull Gravano's Story of Life In the Mafia|The Terrible Hours: The Man Behind The Greatest Submarine Rescue In History|Abandon Ship! The Saga of the U.S.S. Indianapolis, the Navy's Greatest Sea Disaster
George MacDonald		10-Dec	Huntly, Aberdeenshire, Scotland	18-Sep	 Ashstead, England	 unspecified	 Cremated, English Cemetery, Bordighera, Liguria, Italy	 Male	 Christian		 Straight	 Author, 		 Scotland	At the Back of the North Wind	Phantastes|David Elginbrod|Alec Forbes|Robert Falconer|At the Back of the North Wind|The Princess and the Goblin|The Princess and Curdie|Lilith
Arthur Machen	 Arthur Llewellyn Jones	3-Mar	 Caerleon-on-Usk, Wales	30-Mar	Beaconsfield, Buckinghamshire, England	 unspecified		 Male	Anglican/Episcopalian		 Straight	 Author		 Wales	 Welsh horror novelist, 	The Great God Pan and the Inmost Light|The Three Imposters|House of Souls|The Hill of Dreams|Angel of Mons|The Terror|Far Off Things|Things Near and Far
Niccolò Machiavelli		3-May	Florence, Italy	22-Jun	Florence, Italy	 unspecified	 Buried, Santa Croce Church, Florence, Italy	 Male	Roman Catholic		 Straight	 Author, 		 Italy	The Prince	Ritratti delle cose di Francia|Il Principe|Vita di Castruccio|Libro dell' arte della guerra|Historie Fiorentine|Belfagor|La Mandragola
